"ad_id","ad_platform","ad_type","target_gender","target_age_group","target_interests"
"1","facebook","video","female","35-44","art,technology"
"2","facebook","stories","all","25-34","travel,photography"
"3","instagram","carousel","all","25-34","technology"
"4","facebook","stories","female","25-34","news"
"5","instagram","image","female","25-34","news"
"6","facebook","video","male","25-34","finance,health"
"7","facebook","image","female","18-24","fashion,gaming"
"8","facebook","carousel","all","25-34","technology"
"9","instagram","stories","all","35-44","fitness,lifestyle"
"10","facebook","stories","female","18-24","art"
"11","facebook","carousel","all","35-44","fashion"
"12","facebook","stories","female","35-44","gaming,technology"
"13","facebook","stories","female","all","health,food"
"14","instagram","image","female","35-44","finance,lifestyle"
"15","facebook","stories","all","all","fashion"
"16","facebook","video","female","35-44","food,gaming"
"17","instagram","image","all","35-44","sports,travel"
"18","facebook","video","male","18-24","photography"
"19","facebook","video","female","18-24","gaming"
"20","instagram","image","male","35-44","art,travel"
"21","instagram","video","all","25-34","art"
"22","facebook","stories","male","35-44","finance"
"23","facebook","image","all","18-24","news"
"24","facebook","video","female","all","technology"
"25","facebook","video","male","25-34","travel,technology"
"26","facebook","image","female","all","gaming,health"
"27","instagram","video","female","all","health,fashion"
"28","facebook","image","female","25-34","finance,travel"
"29","instagram","carousel","all","18-24","lifestyle,news"
"30","facebook","carousel","female","25-34","sports"
"31","facebook","image","female","25-34","fashion"
"32","instagram","stories","all","18-24","sports"
"33","instagram","carousel","female","all","photography"
"34","instagram","stories","female","35-44","sports,technology"
"35","instagram","image","female","25-34","travel,finance"
"36","facebook","video","male","18-24","gaming,health"
"37","facebook","carousel","all","35-44","gaming,travel"
"38","facebook","stories","male","25-34","finance,technology"
"39","instagram","stories","all","35-44","lifestyle,gaming"
"40","facebook","stories","all","all","health,finance"
"41","facebook","carousel","all","25-34","photography"
"42","facebook","video","female","25-34","health"
"43","facebook","video","all","all","fitness"
"44","facebook","video","female","18-24","fashion,gaming"
"45","facebook","carousel","female","all","sports,gaming"
"46","instagram","carousel","all","35-44","technology,travel"
"47","instagram","image","female","35-44","fitness,sports"
"48","facebook","carousel","all","all","finance,lifestyle"
"49","facebook","stories","all","25-34","finance"
"50","instagram","stories","female","35-44","news"
"51","instagram","carousel","all","18-24","photography"
"52","instagram","stories","female","35-44","health,lifestyle"
"53","facebook","stories","female","25-34","sports"
"54","instagram","image","female","25-34","technology,travel"
